S(t),I(t),H(t),C(t),R(t),D(t),date
54188371.0,438196.28571428574,23003.428571428572,1709.5714285714287,1378348.7142857143,461.2857142857143,2020-12-24
54175501.0,456590.28571428574,23233.571428571428,1748.7142857142858,1390271.4285714286,476.42857142857144,2020-12-25
54138243.0,477009.4285714286,23512.285714285714,1789.5714285714287,1402333.5714285714,498.42857142857144,2020-12-26
54095219.0,499068.14285714284,23888.571428571428,1835.2857142857142,1414686.142857143,520.5714285714286,2020-12-27
54054694.0,520411.14285714284,24281.428571428572,1884.5714285714287,1427385.4285714286,534.8571428571429,2020-12-28
53981104.0,545896.0,24853.285714285714,1945.142857142857,1440534.857142857,547.4285714285714,2020-12-29
53917315.0,574469.7142857143,25634.14285714286,2022.857142857143,1454259.857142857,568.5714285714286,2020-12-30
53869837.0,604796.1428571428,26388.428571428572,2100.4285714285716,1468846.857142857,591.4285714285714,2020-12-31
53841136.0,636356.0,27204.428571428572,2183.8571428571427,1484447.5714285714,605.8571428571429,2021-01-01
53785980.0,669615.2857142857,28104.428571428572,2267.714285714286,1500891.142857143,620.4285714285714,2021-01-02
53735567.0,702874.7142857143,29075.571428571428,2374.8571428571427,1518379.857142857,630.7142857142857,2021-01-03
53665147.0,738641.7142857143,30157.714285714286,2487.8571428571427,1537608.2857142857,654.1428571428571,2021-01-04
53605942.0,770517.4285714285,30996.428571428572,2598.714285714286,1558638.5714285714,688.5714285714286,2021-01-05
53553633.0,798896.7142857143,31862.0,2716.8571428571427,1581496.7142857143,717.1428571428571,2021-01-06
53505959.0,825672.4285714285,32784.28571428572,2841.4285714285716,1605952.2857142857,751.2857142857143,2021-01-07
53462826.0,852758.0,34016.142857142855,2990.4285714285716,1632124.2857142857,786.7142857142857,2021-01-08
53426668.0,876272.1428571428,35069.71428571428,3133.714285714286,1659117.5714285714,822.8571428571429,2021-01-09
53393108.0,895762.5714285715,36148.0,3267.4285714285716,1687680.142857143,869.7142857142857,2021-01-10
53340063.0,910854.5714285715,37152.71428571428,3397.285714285714,1718124.2857142857,904.4285714285714,2021-01-11
53294515.0,922263.7142857143,38207.142857142855,3539.0,1750262.0,942.7142857142857,2021-01-12
53252581.0,931082.1428571428,39162.142857142855,3674.285714285714,1783470.0,981.0,2021-01-13
53213272.0,938810.0,40089.142857142855,3805.0,1816545.0,1009.5714285714286,2021-01-14
53175725.0,948467.8571428572,40851.857142857145,3925.5714285714284,1846861.7142857143,1039.857142857143,2021-01-15
53147544.0,954786.7142857143,41556.142857142855,4051.714285714286,1879343.0,1074.7142857142858,2021-01-16
53120737.0,958184.1428571428,42092.28571428572,4158.142857142857,1913754.2857142857,1101.4285714285713,2021-01-17
