Date,beta,gamma_c,delta_c,eta,mu,omega
2020-10-12,0.7998962,0.005146528,0.021246642,0.19185115,0.0012709544,0.48492208
2020-10-13,0.79989636,0.0051465086,0.021246599,0.19185118,0.0012709496,0.48492214
2020-10-14,0.7998964,0.0051464965,0.02124655,0.19185118,0.0012709466,0.4849222
2020-10-15,0.7998966,0.0051464816,0.021246517,0.19185118,0.0012709437,0.4849222
2020-10-16,0.7998967,0.005146465,0.02124649,0.19185121,0.00127094,0.48492226
2020-10-17,0.7998968,0.0051464527,0.021246439,0.19185121,0.0012709376,0.48492226
2020-10-18,0.7998969,0.005146443,0.02124642,0.19185124,0.0012709347,0.48492232
2020-10-19,0.79989696,0.005146436,0.021246396,0.19185124,0.0012709323,0.48492232
2020-10-20,0.7998971,0.005146424,0.021246357,0.19185126,0.0012709294,0.48492238
2020-10-21,0.7998972,0.0051464117,0.021246336,0.19185126,0.0012709281,0.48492238
2020-10-22,0.79989725,0.005146402,0.021246308,0.19185129,0.001270925,0.48492238
2020-10-23,0.7998973,0.005146392,0.021246288,0.19185129,0.0012709227,0.4849224
2020-10-24,0.7998973,0.0051463894,0.02124626,0.19185129,0.0012709221,0.4849224
2020-10-25,0.7998974,0.0051463824,0.021246241,0.1918513,0.0012709197,0.4849224
2020-10-26,0.7998975,0.0051463726,0.021246225,0.1918513,0.0012709185,0.4849224
2020-10-27,0.79989755,0.005146363,0.021246206,0.1918513,0.0012709162,0.48492247
2020-10-28,0.79989755,0.00514636,0.021246199,0.19185132,0.0012709156,0.48492247
2020-10-29,0.7998977,0.005146353,0.021246161,0.19185132,0.0012709138,0.48492247
2020-10-30,0.7998977,0.0051463456,0.021246148,0.19185135,0.0012709125,0.48492253
2020-10-31,0.7998977,0.0051463433,0.021246143,0.19185135,0.0012709107,0.48492253
2020-11-01,0.79989785,0.0051463386,0.02124613,0.19185135,0.0012709101,0.48492253
2020-11-02,0.79989785,0.0051463335,0.021246113,0.19185135,0.0012709096,0.48492253
2020-11-03,0.79989785,0.005146331,0.02124611,0.19185135,0.0012709078,0.48492253
2020-11-04,0.7998979,0.0051463237,0.021246094,0.19185136,0.0012709078,0.48492253
2020-11-05,0.7998979,0.005146319,0.02124608,0.19185136,0.001270906,0.4849226
2020-11-06,0.7998979,0.0051463167,0.02124607,0.19185136,0.0012709047,0.4849226
2020-11-07,0.7998979,0.0051463116,0.02124606,0.19185136,0.0012709041,0.4849226
2020-11-08,0.79989797,0.0051463093,0.021246051,0.19185136,0.0012709035,0.4849226
2020-11-09,0.7998981,0.005146307,0.021246046,0.19185136,0.001270903,0.4849226
2020-11-10,0.7998981,0.0051463046,0.02124604,0.19185136,0.0012709018,0.4849226
2020-11-11,0.7998981,0.005146302,0.021246037,0.19185139,0.0012709018,0.4849226
2020-11-12,0.7998981,0.005146302,0.021246022,0.19185139,0.0012709012,0.4849226
2020-11-13,0.7998981,0.005146295,0.021246016,0.19185139,0.0012709012,0.4849226
2020-11-14,0.7998981,0.005146295,0.021246016,0.19185139,0.0012709007,0.4849226
2020-11-15,0.7998982,0.0051462925,0.021246012,0.19185139,0.0012708993,0.48492265
2020-11-16,0.7998982,0.0051462925,0.021246007,0.19185139,0.0012708987,0.48492265
2020-11-17,0.7998982,0.0051462925,0.021246007,0.19185139,0.0012708987,0.48492265
2020-11-18,0.7998982,0.0051462897,0.021246001,0.19185139,0.001270898,0.48492265
2020-11-19,0.7998982,0.0051462874,0.021245996,0.19185139,0.001270898,0.48492265
2020-11-20,0.7998982,0.0051462874,0.021245992,0.19185139,0.001270898,0.48492265
2020-11-21,0.7998982,0.005146285,0.021245979,0.19185139,0.0012708976,0.48492265
2020-11-22,0.79989827,0.0051462827,0.021245979,0.19185142,0.0012708976,0.48492265
2020-11-23,0.79989827,0.0051462827,0.02124597,0.19185142,0.001270897,0.48492265
2020-11-24,0.79989827,0.0051462804,0.02124597,0.19185142,0.0012708964,0.48492265
2020-11-25,0.79989827,0.0051462804,0.021245964,0.19185142,0.0012708957,0.48492265
2020-11-26,0.79989827,0.0051462776,0.021245964,0.19185142,0.0012708957,0.48492265
2020-11-27,0.79989827,0.0051462776,0.021245964,0.19185142,0.0012708957,0.48492265
2020-11-28,0.79989827,0.0051462776,0.021245964,0.19185142,0.0012708957,0.48492265
2020-11-29,0.79989827,0.0051462753,0.021245953,0.19185142,0.0012708957,0.48492265
2020-11-30,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708957,0.48492265
2020-12-01,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708957,0.48492265
2020-12-02,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708952,0.48492265
2020-12-03,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708947,0.48492265
2020-12-04,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708947,0.48492265
2020-12-05,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708947,0.48492265
2020-12-06,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708947,0.48492265
2020-12-07,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708947,0.48492265
2020-12-08,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708947,0.48492265
2020-12-09,0.7998983,0.0051462706,0.021245947,0.19185142,0.0012708947,0.48492265
2020-12-10,0.7998983,0.0051462655,0.021245945,0.19185142,0.0012708934,0.48492265
2020-12-11,0.7998983,0.0051462655,0.02124594,0.19185142,0.0012708928,0.4849227
2020-12-12,0.7998983,0.0051462655,0.02124594,0.19185142,0.0012708928,0.4849227
2020-12-13,0.7998983,0.0051462655,0.021245934,0.19185142,0.0012708928,0.4849227
2020-12-14,0.7998983,0.0051462655,0.021245928,0.19185142,0.0012708928,0.4849227
2020-12-15,0.7998983,0.0051462655,0.021245928,0.19185142,0.0012708928,0.4849227
2020-12-16,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-17,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-18,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-19,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-20,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-21,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-22,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-23,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-24,0.7998983,0.0051462655,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-25,0.7998983,0.005146263,0.021245925,0.19185142,0.0012708922,0.4849227
2020-12-26,0.7998983,0.005146263,0.021245925,0.19185142,0.0012708922,0.4849227
