date,susceptible,active_cases,cumulative_recovered,cumulative_deceased
2020-07-03,55934544.22110288,132564.064117636,68403.35752014603,35757.39511489868
2020-07-04,55933936.356136575,132287.49347359795,69198.43337641444,35791.93730926514
2020-07-05,55933335.63172867,132029.86768467087,69971.15712033851,35824.959367752075
2020-07-06,55932741.3617473,131791.13994973045,70723.00376440797,35856.53564834595
2020-07-07,55932152.75634299,131571.33006925244,71455.2024856976,35886.70817947388
2020-07-08,55931569.01768799,131370.45304359708,72169.08331683704,35915.52933502197
2020-07-09,55930989.35593281,131188.4260707753,72865.93216615064,35943.058601379395
2020-07-10,55930412.73390138,131025.22935031142,73546.97190724101,35969.35158538818
2020-07-11,55929838.36972249,130880.75247955322,74213.38759287767,35994.45613479614
2020-07-12,55929265.30600284,130754.90185625212,74866.52186263459,36018.42268371582
2020-07-13,55928692.52152291,130647.55207739558,75507.41478942122,36041.309425354004
2020-07-14,55928119.050911106,130558.54953929356,76137.34597808974,36063.16550064087
2020-07-15,55927544.02453519,130487.69323711736,76757.3807154383,36084.04005050659
2020-07-16,55926966.34139284,130434.78576612473,77368.63471604245,36103.989974975586
2020-07-17,55926384.996221095,130399.58412047794,77972.16065975599,36123.04954338074
2020-07-18,55925798.991735265,130381.81829369068,78569.01122643266,36141.27953529358
2020-07-19,55925207.394476876,130381.20927906036,79160.21388203757,36158.725858688354
2020-07-20,55924609.29492229,130397.4000680106,79746.58807795389,36175.43183517456
2020-07-21,55924003.60802575,130430.06845280102,80329.17388709103,36191.44660568237
2020-07-22,55923389.49606813,130478.8604249273,80908.8411886096,36206.81090545654
2020-07-23,55922766.12731397,130543.3619744437,81486.25815056052,36221.57258224487
2020-07-24,55922132.604207076,130623.1674916063,82062.29465210438,36235.76525878906
2020-07-25,55921488.14288166,130717.86176644053,82637.63777170863,36249.43548965454
2020-07-26,55920831.97742309,130826.95878727095,83212.99980172941,36262.61689758301
2020-07-27,55920163.47754742,130950.01934354646,83788.90393035753,36275.357330322266
2020-07-28,55919481.89329658,131086.57062390872,84365.93638050556,36287.68006515503
2020-07-29,55918786.85766979,131236.0906158175,84944.50687786512,36299.626483917236
2020-07-30,55918077.58879586,131398.12450834684,85525.25837659836,36311.22374343872
2020-07-31,55917353.895196125,131572.12748840876,86108.44301559245,36322.515811920166
2020-08-01,55916615.25030427,131757.58834372248,86694.35075456755,36333.50915527344
2020-08-02,55915861.43072852,131953.99586200714,87283.28416018827,36344.254207611084
2020-08-03,55915092.11733777,132160.83403086662,87875.55840606349,36354.763900756836
2020-08-04,55914307.19843613,132377.54723695345,88471.2995616368,36365.06539154053
2020-08-05,55913506.59424085,132603.62066790037,89070.62108940737,36375.18454360962
2020-08-06,55912690.209012575,132838.54191139765,89673.6238449301,36385.144634246826
2020-08-07,55911858.18636031,133081.7973551069,90280.37086292676,36394.95083618164
2020-08-08,55911010.558197156,133332.83498576708,90890.78019825902,36404.63677215576
2020-08-09,55910147.51600178,133591.17119176048,91504.9022787043,36414.21408081055
2020-08-10,55909269.36294874,133856.2647600855,92122.5416966251,36423.69569396973
2020-08-11,55908376.33838634,134127.6728801046,92743.6984520214,36433.09842300415
2020-08-12,55907468.84122848,134404.87233924866,93368.1393164226,36442.43519973755
2020-08-13,55906547.17464969,134687.38792610168,93995.7256134408,36451.70990371704
2020-08-14,55905611.94599636,134974.75162942067,94626.19259724447,36460.94387245178
2020-08-15,55904663.5841009,135266.49783802032,95259.3511636683,36470.131286621094
2020-08-16,55903702.7282228,135562.22454224314,95894.96178076949,36479.29154396057
2020-08-17,55902729.87301528,135861.44333035604,96532.633633273,36488.42205810547
2020-08-18,55901745.68865363,136163.77259319168,97172.18392048564,36497.53576087952
2020-08-19,55900750.781486966,136468.80312091962,97813.30377227068,36506.6332988739
2020-08-20,55899745.981256135,136776.13290388242,98455.57715946436,36515.71208572388
2020-08-21,55898731.94217991,137085.37673282623,99098.78976401262,36524.7837600708
2020-08-22,55897709.222737715,137396.19019947734,99742.50034286296,36533.84379577637
2020-08-23,55896678.73245318,137708.23729576383,100386.44415018389,36542.898012161255
2020-08-24,55895641.28511064,138021.1376125472,101030.17363945076,36551.93800354004
2020-08-25,55894597.4711026,138334.59354267802,101673.43036830425,36560.97088241577
2020-08-26,55893548.311648615,138648.28707851682,102315.75418327536,36569.99082946777
2020-08-27,55892494.333065666,138961.9794143268,102956.95598019873,36579.00107765198
2020-08-28,55891436.30176705,139275.34654232435,103596.58821254969,36587.995807647705
2020-08-29,55890375.23872296,139588.10885579244,104234.24115463666,36596.969846725464
2020-08-30,55889311.67049972,139900.05754971504,104869.74461271083,36605.92578125
2020-08-31,55888246.34705543,140210.94661818232,105502.6258263588,36614.86037826538
